City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
556,Santa Juliana,PH,87.6,overcast clouds,15.3283,120.4286,Majestic Mount Pinatubo Tour-BOGNOT LODGE SANTA JULIANA CAPAS
558,Papetoai,PF,80.19,clear sky,-17.4961,-149.8729,Fare Vaihere
559,Oranjestad,AW,79.84,clear sky,12.524,-70.027,Divi Village Golf & Beach Resort
562,Alice Springs,AU,72.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
563,Mogadishu,SO,84.07,scattered clouds,2.0371,45.3438,Hotel Juba
564,Altamira,BR,70.29,overcast clouds,-3.2033,-52.2064,Requinte Hotel
567,Ca Mau,VN,87.62,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
568,Pecos,US,73.49,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
570,Do Gonbadan,IR,87.89,clear sky,30.3586,50.7981,مسافرخانه شادی
571,Kavaratti,IN,82.67,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
572,Albania,AL,71.13,broken clouds,41.0,20.0,Bora Homestay
573,Qui Nhon,VN,88.99,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
574,Hailar,CN,75.88,overcast clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
575,Santa Marta,CO,84.25,scattered clouds,11.2408,-74.199,Hotel La Ballena Azul
576,Ewa Beach,US,82.35,clear sky,21.3156,-158.0072,Base Lodging
577,Miraflores,MX,72.25,broken clouds,19.2167,-98.8083,Hotel Mansión
578,Antalaha,MG,74.57,light rain,-14.9003,50.2788,Hotel Vitasoa
579,Puerto Ayacucho,VE,73.47,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
587,Carutapera,BR,71.96,light rain,-1.195,-46.02,Lidera
590,Finschhafen,PG,84.11,few clouds,-6.6024,147.8681,Cossam Guest House
591,Tongchuan,CN,83.48,clear sky,35.0806,109.0897,Tongchuan Hotel
592,Shitanjing,CN,78.49,broken clouds,39.2342,106.3439,Yingbin Hotel
603,Kultuk,RU,74.03,few clouds,51.7208,103.6956,"Hostel ""Viertikal'"""
610,Basoko,CD,75.31,overcast clouds,1.2391,23.616,Jackyna Hotel
617,Mackay,AU,75.69,overcast clouds,-21.15,149.2,International Lodge Motel
618,Siuna,NI,72.46,light rain,13.7332,-84.7773,hotel los chinitos
629,Shache,CN,73.71,overcast clouds,38.4167,77.2406,Delong Hotel
640,Saint-Joseph,RE,75.58,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
642,Monrovia,LR,74.86,moderate rain,6.3005,-10.7969,Sunset Inn
643,Tubuala,PA,80.17,overcast clouds,9.5167,-79.0333,Río Nabagana
