City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Ucluelet,CA,48.9329,-125.5528,50.09,88,4,7.2,clear sky
294,Gaya,IN,24.7833,85.0,84.11,65,20,9.22,haze
295,Betioky,MG,-23.7167,44.3833,69.21,54,4,6.11,clear sky
296,Krasnovishersk,RU,60.4078,57.082,36.45,97,100,6.22,light rain
297,Husavik,IS,66.0449,-17.3389,39.0,98,100,11.03,overcast clouds
298,Georgetown,MY,5.4112,100.3354,89.53,72,20,10.36,thunderstorm
299,Diffa,NE,13.3154,12.6113,78.67,29,90,7.43,overcast clouds
300,Klaksvik,FO,62.2266,-6.589,47.32,88,100,12.77,overcast clouds
301,Makat,KZ,47.6469,53.3463,55.31,37,78,15.43,broken clouds
302,Huarmey,PE,-10.0681,-78.1522,64.49,87,36,7.45,scattered clouds
303,Praia Da Vitoria,PT,38.7333,-27.0667,64.65,100,75,4.76,light intensity drizzle
304,Bubaque,GW,11.2833,-15.8333,78.03,77,100,10.38,overcast clouds
305,Tateyama,JP,34.9833,139.8667,65.95,73,83,9.51,broken clouds
306,Morshansk,RU,53.4435,41.8107,49.37,61,100,8.52,overcast clouds
307,Cherskiy,RU,68.75,161.3,59.52,35,33,14.65,scattered clouds
308,Blackwater,AU,-23.5833,148.8833,68.76,71,89,11.32,overcast clouds
309,Biltine,TD,14.5333,20.9167,81.28,16,43,5.82,scattered clouds
310,Iquique,CL,-20.2208,-70.1431,62.64,81,39,1.95,scattered clouds
311,Raga,SS,8.4596,25.678,74.03,75,99,0.81,overcast clouds
312,Kulhudhuffushi,MV,6.6221,73.07,83.68,75,47,14.81,scattered clouds
313,San Cristobal,VE,7.7669,-72.225,73.58,85,17,2.95,few clouds
314,Turinsk,RU,58.0458,63.696,42.42,94,99,9.55,overcast clouds
315,Melfort,CA,52.8667,-104.6177,46.53,39,74,3.44,broken clouds
316,Pacific Grove,US,36.6177,-121.9166,55.24,86,100,5.75,overcast clouds
317,Beringovskiy,RU,63.05,179.3167,38.01,82,100,9.4,overcast clouds
318,Grand Gaube,MU,-20.0064,57.6608,77.4,75,3,8.01,light rain
319,Chifeng,CN,42.2683,118.9636,81.82,16,3,6.8,clear sky
320,Nenjiang,CN,49.1833,125.2167,75.11,24,54,11.27,broken clouds
321,Ishigaki,JP,24.3448,124.1572,78.93,83,75,9.22,broken clouds
322,Masallatah,LY,32.6167,14.0,63.93,39,0,9.22,clear sky
323,Assiniboia,CA,49.6334,-105.9845,35.42,64,42,8.05,scattered clouds
324,Teya,RU,60.3778,92.6267,54.64,54,43,7.9,scattered clouds
325,Yatou,CN,37.15,122.3833,83.84,33,0,6.67,clear sky
326,Acari,PE,-15.4311,-74.6158,66.9,78,100,1.5,overcast clouds
327,Merauke,ID,-8.4667,140.3333,85.71,64,76,13.62,broken clouds
328,Scarborough,GB,54.2797,-0.4044,52.79,84,95,5.01,overcast clouds
329,Ternate,ID,0.8,127.4,84.97,67,84,5.17,broken clouds
330,Puerto Leguizamo,CO,-0.1934,-74.7819,69.15,98,44,2.01,scattered clouds
331,Pochutla,MX,15.7432,-96.4661,76.82,77,98,4.38,overcast clouds
332,Manado,ID,1.487,124.8455,90.37,70,40,6.91,scattered clouds
333,Kabelvag,NO,68.2114,14.4817,46.42,85,99,5.37,overcast clouds
334,Trelew,AR,-43.249,-65.3051,58.41,42,74,23.44,broken clouds
335,Batagay-Alyta,RU,67.8006,130.4114,39.79,73,82,1.72,broken clouds
